WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.5071982 -5.7985266)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985266,106.5071982,1.0
"POINT (106.8024219 -6.3275131)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.3275131,106.8024219,1.0
"POINT (106.8980438 -6.2354356)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.2354356,106.8980438,1.0
"POINT (106.8293792 -6.2026694)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.2026694,106.8293792,1.0
"POINT (106.7559082 -6.1815073)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.1815073,106.7559082,1.0
"POINT (106.8939238 -6.141229)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.141229,106.8939238,1.0
